state,indicator,value,relative_strength,period
New South Wales,Unemployment Rate,4.07,84.7,Dec-2025
Victoria,Unemployment Rate,4.65,0.0,Dec-2025
Queensland,Unemployment Rate,4.12,77.0,Dec-2025
South Australia,Unemployment Rate,3.97,100.0,Dec-2025
Western Australia,Unemployment Rate,4.19,66.7,Dec-2025
Tasmania,Unemployment Rate,4.41,34.6,Dec-2025
Northern Territory,Unemployment Rate,4.5,21.5,Dec-2025
Australian Capital Territory,Unemployment Rate,4.08,82.7,Dec-2025
New South Wales,Participation Rate,65.74,40.9,Dec-2025
Victoria,Participation Rate,67.73,57.4,Dec-2025
Queensland,Participation Rate,66.74,49.2,Dec-2025
South Australia,Participation Rate,64.7,32.3,Dec-2025
Western Australia,Participation Rate,68.58,64.3,Dec-2025
Tasmania,Participation Rate,60.78,0.0,Dec-2025
Northern Territory,Participation Rate,72.91,100.0,Dec-2025
Australian Capital Territory,Participation Rate,71.73,90.3,Dec-2025
New South Wales,Employment-to-Population Ratio,63.07,43.1,Dec-2025
Victoria,Employment-to-Population Ratio,64.58,56.3,Dec-2025
Queensland,Employment-to-Population Ratio,63.99,51.1,Dec-2025
South Australia,Employment-to-Population Ratio,62.13,35.0,Dec-2025
Western Australia,Employment-to-Population Ratio,65.7,66.0,Dec-2025
Tasmania,Employment-to-Population Ratio,58.09,0.0,Dec-2025
Northern Territory,Employment-to-Population Ratio,69.62,100.0,Dec-2025
Australian Capital Territory,Employment-to-Population Ratio,68.8,92.9,Dec-2025
New South Wales,Underemployment Rate,5.44,50.0,Dec-2025
Victoria,Underemployment Rate,6.41,23.6,Dec-2025
Queensland,Underemployment Rate,6.14,30.9,Dec-2025
South Australia,Underemployment Rate,6.25,28.0,Dec-2025
Western Australia,Underemployment Rate,5.31,53.5,Dec-2025
Tasmania,Underemployment Rate,7.27,0.0,Dec-2025
Northern Territory,Underemployment Rate,3.61,100.0,Dec-2025
Australian Capital Territory,Underemployment Rate,4.52,75.0,Dec-2025
